source,target,df_alpha,gloss_alpha,global_score,lans_alpha,ecm_alpha,nc_alpha,mlf_score,weight,pf_alpha
128,663,0.004162966324745443,0.163721,3257,0.021276595744680882,0.04755851626396179,0.0,709.782712893384,3257,0.785730346309179
128,673,0.002015359727689181,0.0776723,2802,0.02083333333333337,0.027452506124973297,0.0,709.782712893384,2802,0.143193928721963
128,682,0.01347520705937777,0.14263,2155,0.032258064516129004,0.10692761093378067,0.0,542.7629750214576,2155,0.0986666468719818
128,691,0.39829250562186436,0.461844,576,0.27941176470588236,0.6632232666015625,1.0,-0.0,576,0.0139482856477764
128,700,0.5989960007661912,0.564095,311,0.3382352941176471,0.6495767831802368,1.0,-0.0,311,0.586249838015067
128,733,0.005337090306383407,0.306365,4666,0.012048192771084376,0.05951119586825371,0.0,709.782712893384,4666,0.201751177592004
128,929,0.8376552496573306,0.794159,88,0.6323529411764706,0.2528986632823944,1.0,-0.0,88,0.605673892932779
128,2050,0.4792111653112854,0.443642,51,0.5714285714285714,0.023931454867124557,0.0,61.12081020021631,51,0.244701950993153
128,1894,0.15512780880947974,0.255945,868,0.125,0.06761971116065979,0.0,709.782712893384,868,0.173098484122746
128,949,0.46496638754833497,0.482433,80,0.5,0.02951326034963131,0.0,87.13810460600257,80,0.702947242169501
128,965,0.8031005632479274,0.756529,92,0.6176470588235294,0.6181479096412659,1.0,-0.0,92,0.449333989102236
128,971,0.5967027736623333,0.536878,224,0.42647058823529416,0.14966505765914917,1.641242697303369e-12,26.62512961900491,224,0.751132572120828
128,981,0.8257885437257975,0.77222,133,0.5294117647058824,0.6201843619346619,1.0,-0.0,133,0.606761092701031
128,989,0.48583022012877564,0.508691,109,0.33333333333333337,0.05216877907514572,0.0,74.60533909658106,109,0.603506047024822
128,1896,0.1575917425573229,0.393189,63,0.0,0.005109662190079689,0.0,155.85583531166148,63,0.231300532406493
