source,target,mlf_score,global_score,df_alpha,ecm_alpha,nc_alpha,weight,lans_alpha,gloss_alpha,pf_alpha
574,2189,1.2003054525256607,263,0.6739763886320433,0.4803718328475952,0.2798959876489091,263,0.6333333333333333,0.784369,0.466621424645602
574,647,79.49557582207031,1192,0.169019668115571,0.20338347554206848,0.0,1192,0.1333333333333333,0.24317,0.509003313279351
574,733,4.820309750826838,950,0.24465662133247879,0.32043835520744324,0.0074005400157328705,950,0.31999999999999995,0.377383,0.464443486856819
574,567,19.349232477465485,7,0.9899231434314882,0.030691269785165787,1.0780343284721994e-10,7,0.0,1.0,0.414475898329233
574,2219,245.31579922650013,97,0.8687839312537977,0.02821422927081585,0.0,97,0.0,1.0,0.363924986183203
574,730,4.973799150321938e-13,1131,0.1856169080484079,0.3681681156158447,0.9999999999993543,1131,0.19999999999999996,0.450477,0.236653975445591
574,682,99.88819759136874,1050,0.2101035246688031,0.18035130202770233,0.0,1050,0.16666666666666663,0.149173,0.54353468466608
691,627,75.2000069090016,1024,0.14122574525523923,0.1711430698633194,0.0,1024,0.06896551724137934,0.152724,0.59532575971304
691,702,-0.0,830,0.4069036119073528,0.5339520573616028,1.0,830,0.40625,0.612478,0.344646336367309
691,529,244.52206971882617,1387,0.09394616317091431,0.11879390478134155,0.0,1387,0.0,0.132082,0.568841732371996
691,591,0.05381794828439492,787,0.30699684543165606,0.34168845415115356,0.9435938255901957,787,0.2857142857142857,0.367226,0.410948550486354
691,498,-0.0,211,0.7625706862359571,0.6863351464271545,1.0,211,0.46153846153846156,0.874064,0.468078611637689
691,613,0.023627842061604072,212,0.666962184547528,0.5642750859260559,0.9726628066907604,212,0.6363636363636364,0.808031,0.49172739913805
691,712,709.782712893384,2113,0.02243615024961365,0.03638780862092972,0.0,2113,0.0,0.0486881,0.176732339645859
691,723,0.0038915883522669336,407,0.639385743152388,0.5657150745391846,0.9955063106300703,407,0.33333333333333337,0.762019,0.611440081417349
691,554,-0.0,693,0.43738521441785727,0.47638702392578125,1.0,693,0.1724137931034483,0.396576,0.182786930100152
691,2189,1.1119327680892613e-11,248,0.6895579755790755,0.6223023533821106,0.9999999999831564,248,0.7692307692307692,0.824011,0.232043299840149
691,645,0.04404024337250286,610,0.40335273283477746,0.4213080406188965,0.9530373508114708,610,0.31818181818181823,0.500978,0.513493204875228
691,720,-0.0,417,0.638587843190101,0.6257990002632141,1.0,417,0.4666666666666667,0.766407,0.62083875689612
691,2190,709.782712893384,2470,0.042062846759050254,0.05782349780201912,0.0,2470,0.0,0.162501,0.463201329863232
691,663,-0.0,748,0.43743397883060264,0.46541550755500793,1.0,748,0.31999999999999995,0.535981,0.227895769026668
691,730,-0.0,1038,0.3234655957474981,0.6023890376091003,1.0,1038,0.3125,0.823092,0.994669013304395
691,647,-0.0,778,0.43081672468702337,0.47854357957839966,1.0,778,0.3928571428571429,0.537288,0.620519664716678
691,673,6.370806422961249e-06,709,0.43712916433092663,0.4563283622264862,0.9999923806597083,709,0.2272727272727273,0.545895,0.641434415422932
691,733,6.662266961295335,1380,0.22097206975278727,0.3297545909881592,0.001179647875349521,1380,0.16000000000000003,0.453785,0.610795157759725
691,736,-0.0,603,0.5217031722718692,0.5754326581954956,1.0,603,0.34782608695652173,0.653638,0.423971094571348
691,682,21.17582103079151,1153,0.19710610231325543,0.23849846422672272,5.422752247241647e-10,1153,0.1333333333333333,0.168931,0.595252826344443
691,653,0.19581913716538904,265,0.6741007271288042,0.5515415668487549,0.8058079068214636,265,0.7,0.854985,0.524406571837695
691,575,47.47189688625576,1423,0.17275702234313983,0.21541441977024078,0.0,1423,0.09999999999999998,0.134915,0.350228759386094
691,648,81.52194949641807,1777,0.14113871735079775,0.24781569838523865,0.0,1777,0.09375,0.403177,0.578725834780887
691,578,1.961422412612211,535,0.5618078500519496,0.5199912190437317,0.1312430071378865,535,0.5,0.667925,0.529640203006317
554,627,0.013344533069682646,512,0.38228195247598395,0.3842645287513733,0.9851537910756397,512,0.31034482758620685,0.454689,0.200411895992615
554,702,-0.0,411,0.6141693866483535,0.6886934041976929,1.0,411,0.5862068965517242,0.769343,0.35369261629928
554,529,0.4391657621938089,584,0.37919053036322903,0.37395817041397095,0.6290101226002998,584,0.27586206896551724,0.439719,0.149478110777719
554,591,0.3392728644775681,669,0.367684566797858,0.36429086327552795,0.6988952988246138,669,0.2068965517241379,0.435481,0.555365682420169
554,498,232.5756726564711,822,0.3354148300918961,0.22826926410198212,0.0,822,0.13793103448275867,0.440971,0.373728891241473
554,613,32.782943168141585,317,0.5423386148797296,0.32649168372154236,3.6637359812630166e-15,317,0.5454545454545454,0.702267,0.399734649283945
554,663,-0.0,564,0.5111220707949915,0.5144368410110474,1.0,564,0.3448275862068966,0.602177,0.196651216894949
554,733,-0.0,284,0.7146641835265437,0.7569755911827087,1.0,284,0.76,0.843525,0.418221793805387
554,648,-0.0,290,0.7095789198634908,0.75676429271698,1.0,290,0.8,0.840263,0.0007704537537372
554,723,-0.0,157,0.8309245439400033,0.5513446927070618,1.0,157,0.6666666666666667,0.925162,7.89781820165937e-05
554,647,-0.0,240,0.7530448425803337,0.7677658796310425,1.0,240,0.75,0.846306,0.363888504562051
554,653,188.02680801840486,577,0.4139562530003882,0.22544339299201965,0.0,577,0.31034482758620685,0.612133,0.439441901813074
554,682,-0.0,334,0.6305517968914893,0.6292930841445923,1.0,334,0.7333333333333334,0.729713,0.270185440380118
554,673,-0.0,338,0.670134059015377,0.6376305222511292,1.0,338,0.7272727272727273,0.77471,0.604976572563593
554,730,709.782712893384,5468,0.0006725133586191756,0.03230908885598183,0.0,5468,0.0,0.285505,0.023342802004424
554,575,-0.0,490,0.5528344775824253,0.54963219165802,1.0,490,0.48275862068965514,0.625961,0.333408040425938
554,720,-0.0,345,0.664561369036166,0.5427606701850891,1.0,345,0.5333333333333333,0.796192,0.52752128337593
554,736,709.782712893384,4506,0.0028133202304745364,0.00874817743897438,0.0,4506,0.03448275862068961,0.0770344,0.642288597534033
554,645,11.057527772953161,635,0.38828904769168326,0.3634865880012512,1.3282510542111936e-05,635,0.24137931034482762,0.469232,0.118705157934948
554,578,709.782712893384,1501,0.16154104951306758,0.12622204422950745,0.0,1501,0.06896551724137934,0.272572,0.243388263238641
627,702,-0.0,497,0.39339133875698784,0.460273414850235,1.0,497,0.4137931034482759,0.507751,0.177203429979328
627,648,83.30606867154854,1035,0.13818205681544904,0.1928034871816635,0.0,1035,0.03448275862068961,0.207402,0.340235500602762
627,578,2.300724316927312,288,0.58459901087889,0.3821001350879669,0.09013554185594197,288,0.6666666666666667,0.740355,0.606170877578564
627,2189,0.1518853152172967,178,0.7185114901560414,0.4760828912258148,0.8418474774753897,178,0.8275862068965517,0.839459,0.479105828475622
627,663,3.7017685402714144e-06,424,0.4520536143678624,0.45810142159461975,0.9999953564355492,424,0.5172413793103448,0.556237,0.0910299430454993
627,2190,-0.0,93,0.8417868360646835,0.540897011756897,1.0,93,0.9166666666666666,0.964801,0.247480237666065
627,712,504.9707715629543,701,0.2657827663219262,0.12473847717046738,0.0,701,0.2068965517241379,0.339896,0.0538387585512936
627,575,113.05260609821039,962,0.15962802318057712,0.16480110585689545,0.0,962,0.10344827586206895,0.188769,0.450372520081477
627,653,0.5362036693108821,144,0.7655750437037434,0.40823566913604736,0.5522980196830536,144,0.8,0.895003,0.574976279194663
627,591,0.0002518304323851368,365,0.5055454375235191,0.453510582447052,0.999694729363616,365,0.6206896551724138,0.583519,0.596839518315806
627,730,-0.0,497,0.39339133875698784,0.5181225538253784,1.0,497,0.4137931034482759,0.571706,0.541483253087926
627,673,8.300156310475241,509,0.38447934502108927,0.36907851696014404,0.00021041051227554952,509,0.3448275862068966,0.463723,0.445858778635982
627,613,709.782712893384,827,0.1859472533506349,0.06919661164283752,0.0,827,0.1724137931034483,0.1934,0.395987666734588
627,736,-0.0,295,0.576946330217309,0.5899612903594971,1.0,295,0.6521739130434783,0.696,0.496004426366346
627,682,0.9620754988012893,508,0.3852145120500019,0.35493505001068115,0.3652904858795233,508,0.3793103448275862,0.433434,0.0370038992722629
627,647,8.548717289613742e-15,437,0.4410236655495481,0.4656267464160919,0.9999999999999876,437,0.48275862068965514,0.541477,0.454009942824519
627,529,-0.0,175,0.7225492762060923,0.6622592806816101,1.0,175,0.8148148148148149,0.806985,0.130116023565835
627,720,709.782712893384,2039,0.017548667308183497,0.021999770775437355,0.0,2039,0.0,0.0382855,0.575304886205866
627,733,-0.0,387,0.48492204675811057,0.5322796106338501,1.0,387,0.5862068965517242,0.610554,0.421788266231146
591,702,-0.0,530,0.45403839885906205,0.528074324131012,1.0,530,0.4642857142857143,0.590221,0.634917340726893
591,529,44.21126231588057,665,0.3305104837833195,0.2678624093532562,0.0,665,0.2962962962962963,0.350777,0.188883992153626
591,498,3.9904721213121205e-08,188,0.7577209261414781,0.4616592526435852,0.9999999414761949,188,0.5384615384615384,0.871899,0.569420633475036
591,673,0.0016784281440034067,461,0.503856801605916,0.4711706042289734,0.9980525622718582,461,0.4545454545454546,0.598821,0.272249848572178
591,578,709.782712893384,1455,0.10801740436049534,0.07424940913915634,0.0,1455,0.0357142857142857,0.187424,0.643230224280994
591,575,1.5111546447912914e-06,576,0.4234990164279505,0.41745319962501526,0.9999981406846918,576,0.4285714285714286,0.487415,0.374865856025886
591,733,15.924268891726609,956,0.23659928895017046,0.3015049695968628,1.034375792796638e-07,956,0.1785714285714286,0.366805,0.200002437568462
591,720,-0.0,148,0.8039878730620329,0.5821729302406311,1.0,148,0.8,0.912654,0.504920629181434
591,613,109.2878460763614,366,0.49170550564168347,0.23401521146297455,0.0,366,0.4545454545454546,0.651413,0.581753477064428
591,663,51.93382373021609,898,0.25879683737602355,0.2667260468006134,0.0,898,0.16000000000000003,0.349652,0.533226479951997
591,736,709.782712893384,2659,0.014747358883894002,0.02733798697590828,0.0,2659,0.0,0.0777135,0.610307251845436
591,647,-0.0,292,0.6491111590245277,0.6645491719245911,1.0,292,0.7142857142857143,0.760567,0.490510747075609
591,648,0.1595633068335113,795,0.3032519709511484,0.3733440339565277,0.8440712619594941,795,0.25,0.445283,0.469147999554686
591,723,-0.0,153,0.7980591097545454,0.4576488435268402,1.0,153,0.75,0.910002,0.46069608723899
591,682,-0.0,390,0.5605972310967521,0.5188685059547424,1.0,390,0.6071428571428572,0.63413,0.574329685612393
591,730,-0.0,351,0.594332790551841,0.7055252194404602,1.0,351,0.7142857142857143,0.791322,0.458978645853509
591,2189,709.782712893384,1236,0.13825591263853176,0.06234395131468773,0.0,1236,0.07692307692307687,0.149429,0.290051877560544
682,702,-0.0,732,0.360437421070974,0.45586439967155457,1.0,732,0.33333333333333337,0.506376,0.283472397153658
682,529,0.007117819741781315,472,0.4579849427475484,0.4165993332862854,0.9919437533259718,472,0.4444444444444444,0.516004,2.4399720643857e-05
682,498,709.782712893384,1358,0.14623696128290553,0.0936921015381813,0.0,1358,0.06666666666666665,0.195911,0.0139126142001279
682,712,709.782712893384,1044,0.1831923806549659,0.10664113610982895,0.0,1044,0.18181818181818177,0.25319,0.409160569372739
682,663,-0.0,293,0.6675412563711043,0.6716994643211365,1.0,293,0.76,0.771084,0.461112638827966
682,648,-0.0,602,0.4331939420967841,0.5125927329063416,1.0,602,0.4,0.571303,0.199043307296977
682,723,188.79137863344104,748,0.3523439271617608,0.2621510624885559,0.0,748,0.25,0.477595,5.55384482225393e-05
682,575,2.3000684843682125e-08,651,0.40424396434278487,0.4037647545337677,0.999999971028455,651,0.3666666666666667,0.408164,0.0013794201241005
682,578,-0.0,140,0.8249696769190437,0.61058509349823,1.0,140,0.9166666666666666,0.930457,0.434817218056816
682,736,-0.0,184,0.7763556547062727,0.7859823703765869,1.0,184,0.782608695652174,0.881546,0.298573367091732
682,647,-0.0,442,0.5423409558915425,0.5716865658760071,1.0,442,0.5666666666666667,0.650146,0.398096165657245
682,730,-0.0,539,0.47336784339814186,0.6425692439079285,1.0,539,0.43333333333333335,0.715322,0.369658516023632
682,720,709.782712893384,2139,0.04555632152043054,0.056504227221012115,0.0,2139,0.033333333333333326,0.150315,0.472736349336886
682,733,-0.0,493,0.5049491044027038,0.572482168674469,1.0,493,0.5,0.649007,0.606359372651007
682,673,-0.0,210,0.748941935622736,0.726899266242981,1.0,210,0.9,0.846503,6.87564896154265e-05
682,645,-0.0,245,0.6977023928002473,0.642153799533844,1.0,245,0.6818181818181819,0.786366,0.222922866727744
682,2190,426.0034849019337,977,0.2540670899865357,0.18486355245113373,0.0,977,0.23333333333333328,0.357282,0.327800835936636
682,2189,44.45765807077965,431,0.5201890059882073,0.36467960476875305,0.0,431,0.5384615384615384,0.629022,0.57782242286293
575,702,-0.0,669,0.4438497367321462,0.5444265007972717,1.0,669,0.3666666666666667,0.606493,0.63613823726461
575,529,2.2430556068439076,634,0.3483854667865687,0.34265244007110596,0.09907552335756431,634,0.33333333333333337,0.405347,0.610021122502089
575,613,709.782712893384,1390,0.04907321564266032,0.04186282306909561,0.0,1390,0.0,0.0624187,0.0778347168199157
575,712,709.782712893384,1205,0.13715758021479663,0.09752769768238068,0.0,1205,0.09090909090909094,0.199342,0.479433696011886
575,663,9.237033360847424e-11,658,0.4499009330028536,0.4602893888950348,0.9999999998791503,658,0.36,0.546128,0.529368505260783
575,648,78.32812700270208,1513,0.15403437849285517,0.24208267033100128,0.0,1513,0.06666666666666665,0.346987,0.640675046895966
575,578,-0.0,146,0.8391750394414239,0.6287930011749268,1.0,146,0.8333333333333334,0.932587,0.44198197406952
575,720,709.782712893384,4081,0.004744107264226027,0.00965323019772768,0.0,4081,0.0,0.0784779,0.328039164388645
575,673,5.984102102729773e-14,508,0.5408022842072513,0.5199371576309204,0.9999999999999156,508,0.40909090909090906,0.630173,0.574194655646807
575,736,-0.0,536,0.5225865914736053,0.5591683983802795,1.0,536,0.4347826086956522,0.649836,0.635411904328161
