source,target,weight
691,984,1965
691,986,938
691,987,744
691,995,484
691,1005,923
691,1161,593
691,1187,1600
691,1189,1063
691,1412,325
691,1417,3410
691,1426,92
702,488,549
702,506,737
702,510,391
702,516,129
702,527,100
702,528,248
702,529,300
702,537,2264
702,538,452
702,539,268
702,552,73
702,554,411
702,555,154
702,571,3906
702,577,79
702,578,1460
702,579,377
702,586,414
702,594,225
702,596,199
702,597,5512
702,602,149
702,604,93
702,618,197
702,625,3011
702,632,225
702,645,498
702,652,179
702,653,930
702,661,245
702,663,312
702,665,303
702,673,2758
702,674,247
702,679,182
702,683,75
702,686,235
702,687,554
702,688,104
702,689,183
702,690,616
702,697,494
702,700,444
702,701,4
702,708,160
702,712,219
702,718,3928
702,722,367
702,725,788
702,726,371
702,727,224
702,728,172
702,729,88
702,730,1012
702,733,842
702,735,554
702,736,706
702,737,553
702,738,664
702,2277,89
702,739,280
702,741,234
702,2189,957
702,2190,344
702,952,143
702,953,67
702,965,1425
702,967,52
702,971,136
702,974,152
702,981,1906
702,2258,92
702,1161,1408
702,1183,1107
702,1184,1006
702,1187,2021
702,1189,1425
712,524,120
712,697,978
712,730,590
712,733,362
712,736,278
712,737,261
730,488,1840
730,501,85
730,506,517
730,510,126
730,521,141
730,524,165
730,528,392
730,529,384
730,538,1680
730,539,121
730,540,156
730,554,5468
730,559,406
730,568,51
730,571,3664
730,579,247
730,580,91
730,588,204
730,594,303
730,597,2933
730,602,650
730,606,120
730,614,54
730,616,15
730,625,141
730,645,589
730,652,891
730,658,51
730,661,135
730,663,6626
730,665,116
730,669,144
730,673,4457
730,674,2286
730,681,117
730,687,476
730,689,837
730,690,1196
730,697,1144
730,700,6956
730,710,252
730,713,98
730,717,196
730,722,139
730,725,724
730,726,2130
730,727,840
730,733,1599
730,735,699
730,736,549
730,737,770
730,738,494
730,739,116
730,2264,419
730,2190,1651
730,2279,111
730,1137,163
730,1154,166
730,1157,212
730,1161,1016
730,1183,1023
730,1184,294
730,1187,231
730,1189,156
730,741,1505
733,488,895
733,493,94
733,506,755
733,510,394
733,516,59
733,528,167
733,529,995
733,538,331
733,539,857
733,552,3590
733,554,284
733,559,772
733,565,561
733,568,78
733,571,8269
733,579,164
733,588,128
733,594,134
733,597,240
733,625,566
733,632,424
733,645,2004
733,652,136
733,661,99
733,663,195
733,665,107
733,669,122
733,673,354
733,674,3329
733,679,72
733,683,1236
733,688,1690
733,690,185
733,693,36
733,697,934
733,700,540
733,708,3743
733,710,545
733,716,94
733,717,129
733,718,461
733,722,142
733,725,1144
733,726,2371
733,727,194
733,728,124
733,732,1
733,692,1044
733,736,437
733,737,159
733,738,643
733,739,3115
733,2190,128
733,952,1327
733,958,694
733,963,106
733,965,291
733,971,1292
733,974,172
733,981,2139
733,987,1387
733,1183,135
733,1184,993
733,1187,423
733,1189,231
733,1990,2
971,506,589
971,725,469
971,736,836
971,739,360
971,952,91
971,965,379
971,966,56
971,978,47
971,980,13
981,506,475
981,510,948
981,529,5258
981,539,118
981,552,2111
981,554,176
981,565,1293
981,579,3092
981,597,212
981,625,1126
981,632,1729
981,645,432
981,661,1096
981,663,719
981,665,82
981,673,347
981,674,1048
981,700,178
981,708,1724
981,718,1217
981,726,601
981,736,1898
981,739,1225
981,939,424
981,947,703
981,952,226
981,953,480
981,958,56
981,965,1659
981,966,298
981,968,503
981,969,50
981,972,305
981,973,31
981,975,487
981,976,451
981,978,1029
981,979,453
981,980,21
981,977,55
981,982,38
981,2257,78
981,984,260
981,987,15
981,992,118
981,2195,17
981,2051,27
981,1999,4
981,961,31
54,2048,2
55,2036,10
55,2037,42
55,131,27
55,2038,30
55,2046,9
55,61,5
55,122,8
2036,122,6
131,61,9
131,2053,17
56,90,33
90,126,93
66,2043,19
66,2040,30
1954,2701,1
2041,130,28
63,100,44
100,83,34
100,95,44
64,65,64
65,2042,49
67,97,5
92,95,35
92,2658,11
69,123,5
81,2045,30
71,1862,5
72,152,13
107,663,291
529,491,704
529,498,110
529,506,1275
529,509,100
529,510,90
529,519,113
529,527,219
529,494,8
529,537,332
529,539,798
529,542,1031
529,548,3575
529,552,187
529,554,584
529,555,122
529,565,120
529,571,1227
529,579,422
529,597,430
529,618,100
529,2165,89
529,625,329
529,632,145
529,643,164
529,645,1004
529,2203,147
529,651,1319
529,652,702
529,661,66
529,663,556
529,664,447
529,665,176
529,673,353
529,674,109
529,683,125
529,2204,237
529,685,1051
529,1876,46
529,695,188
529,697,5488
529,700,819
529,708,478
529,2205,57
529,2206,171
529,718,427
529,720,319
529,2207,103
529,723,1115
529,724,177
529,2208,108
529,725,233
529,2183,2314
529,735,2271
529,736,137
529,2209,127
529,739,90
529,2067,1368
529,741,201
529,927,699
529,929,1132
529,930,781
529,931,550
529,984,1156
529,1005,1546
529,1412,169
529,1417,1899
529,1422,701
529,1426,131
529,2069,406
571,496,1148
571,498,179
571,506,1172
571,510,3186
571,514,321
571,518,116
571,520,120
571,527,329
571,536,143
571,537,175
571,541,479
571,542,44
571,546,1200
571,548,280
571,552,201
571,554,414
571,555,285
571,565,263
571,569,202
571,564,44
571,578,2523
571,579,385
571,597,359
571,612,109
571,613,540
571,618,88
571,619,194
571,622,148
571,2212,241
571,630,46
571,632,250
571,638,105
571,642,1164
571,643,282
571,645,395
571,646,215
571,650,315
571,651,931
571,653,1691
571,661,205
571,663,521
571,667,1050
571,671,137
571,673,447
571,674,1315
571,680,1390
571,683,274
571,685,553
571,689,3192
571,692,116
571,695,164
571,697,3421
571,700,137
571,708,155
571,709,1180
571,714,355
571,2182,100
571,718,393
571,723,123
571,724,2532
571,725,5594
571,2183,1431
571,729,480
571,736,2642
571,2186,1089
571,739,383
571,2067,145
571,740,956
571,741,377
571,2191,661
571,2193,955
571,1005,1506
571,1417,1813
571,595,4
651,506,1697
651,518,99
651,520,1552
651,527,589
651,536,83
651,537,122
651,541,846
651,542,377
651,547,180
651,548,76
651,552,538
651,554,818
651,555,461
651,565,240
651,569,460
651,578,2291
651,579,648
651,592,1035
651,597,687
651,611,1867
651,612,292
651,613,1656
651,618,89
651,625,111
651,630,829
651,632,213
651,643,91
651,650,869
651,653,2407
651,661,158
651,663,423
651,665,256
651,667,118
651,671,57
651,673,896
651,674,195
651,680,1419
651,683,117
651,685,1018
651,689,2469
651,692,356
651,695,386
651,700,232
651,708,525
651,2182,84
651,718,608
651,720,365
651,1877,255
651,723,136
651,724,116
651,2183,1583
651,729,239
651,2186,1115
651,739,580
651,2067,105
651,741,218
651,2191,2822
651,2194,3162
651,1422,467
663,494,66
663,498,118
663,506,1473
663,510,184
663,514,315
663,520,112
663,526,305
663,527,244
663,537,226
663,539,544
663,542,1299
663,552,114
663,554,564
663,555,177
663,565,102
663,569,1013
663,579,370
663,592,171
663,597,449
663,598,860
663,605,3
663,611,1979
663,618,167
663,619,573
663,625,183
663,632,215
663,638,205
663,642,672
663,645,813
663,649,37
663,661,152
663,662,3
663,664,852
663,665,314
663,667,126
663,671,73
663,673,403
663,674,174
663,683,227
663,689,2106
663,692,85
663,2250,83
663,700,809
663,708,216
663,709,64
663,714,332
663,718,281
663,720,940
663,723,3164
663,724,30
663,725,5999
663,726,106
663,729,110
663,736,135
663,739,180
663,2246,222
663,2067,1821
663,740,48
663,2188,63
663,930,666
663,937,184
663,1894,504
663,965,195
663,984,222
663,986,618
663,987,154
663,996,246
663,1005,120
663,2249,123
663,2261,40
663,1417,681
663,1422,202
663,2068,177
700,486,109
700,498,260
700,504,83
700,506,1312
700,510,2172
700,512,128
700,514,284
700,518,185
700,520,1239
700,527,349
700,536,220
700,537,281
700,539,74
700,541,454
700,542,172
700,547,237
700,548,208
700,552,260
700,554,471
700,555,277
700,565,467
700,569,207
700,579,546
700,586,693
700,587,81
700,597,419
700,612,169
700,613,165
700,619,16
700,624,123
700,625,138
700,630,350
700,632,301
700,635,88
700,638,123
700,639,130
700,643,179
700,645,221
700,661,170
700,664,214
700,665,241
700,671,270
700,673,343
700,674,233
700,683,186
700,685,744
700,692,269
700,695,1290
700,697,4195
700,699,130
700,628,507
700,708,317
