id,IATA,Latitude,Longitude,Name,City,Country,Label,degree,weighted_degree,component
1414,VQS,18.1158008575,-65.4226989746,Vieques Airport,Vieques Island,Puerto Rico,TJCG,2,98,35
544,CDR,42.837600708,-103.095001221,Chadron Municipal Airport,Chadron,United States,KCDR,2,98,18
46,YCB,69.1081008911,-105.138000488,Cambridge Bay Airport,Cambridge Bay,Canada,CYCB,4,96,9
1131,CDV,60.4917984,-145.4779968,Merle K (Mudhole) Smith Airport,Cordova,United States,PACV,2,93,4
988,CAP,19.733,-72.194702,Cap Haitien International Airport,Cap Haitien,Haiti,MTCH,2,93,19
1416,MAZ,18.255699157714844,-67.14849853515625,Eugenio Maria De Hostos Airport,Mayaguez,Puerto Rico,TJMZ,1,93,35
45,YBX,51.4435997009,-57.1852989197,Lourdes de Blanc Sablon Airport,Lourdes-De-Blanc-Sablon,Canada,CYBX,3,92,3
2403,SVA,63.6864013671875,-170.4929962158203,Savoonga Airport,Savoonga,United States,PASA,2,91,17
1147,HOM,59.645599365234375,-151.4770050048828,Homer Airport,Homer,United States,PAHO,1,91,4
634,IPL,32.834201812699995,-115.57900238,Imperial County Airport,Imperial,United States,KIPL,2,90,44
121,YSM,60.020301818847656,-111.96199798583984,Fort Smith Airport,Fort Smith,Canada,CYSM,4,89,9
36,YKG,60.02719879150391,-69.99919891357422,Kangirsuk Airport,Kangirsuk,Canada,CYAS,3,88,3
2201,OLF,48.0945014954,-105.574996948,L M Clayton Airport,Wolf Point,United States,KOLF,1,87,16
1167,PSG,56.80170059,-132.9450073,Petersburg James A Johnson Airport,Petersburg,United States,PAPG,2,83,4
131,YVQ,65.28160095214844,-126.7979965209961,Norman Wells Airport,Norman Wells,Canada,CYVQ,4,81,9
1001,RSD,24.8950787333,-76.1768817902,Rock Sound Airport,Rock Sound,Bahamas,MYER,1,80,38
2224,LBL,37.0442009,-100.9599991,Liberal Mid-America Regional Airport,Liberal,United States,KLBL,2,79,33
2033,YIF,51.2117004395,-58.6582984924,St Augustin Airport,St-Augustin,Canada,CYIF,2,78,3
92,YUD,56.53609848022461,-76.51830291748047,Umiujaq Airport,Umiujaq,Canada,CYMU,3,78,3
2042,YVB,48.07109832763672,-65.46029663085938,Bonaventure Airport,Bonaventure,Canada,CYVB,2,76,3
1143,GAM,63.76679992675781,-171.73300170898438,Gambell Airport,Gambell,United States,PAGM,2,75,17
2395,WRG,56.48429871,-132.3699951,Wrangell Airport,Wrangell,United States,PAWG,2,75,4
2376,AKP,68.13359833,-151.7429962,Anaktuvuk Pass Airport,Anaktuvuk Pass,United States,PAKP,2,74,4
2199,GGW,48.212502,-106.614998,Wokal Field Glasgow International Airport,Glasgow,United States,KGGW,1,74,16
2379,YAK,59.5032997131,-139.660003662,Yakutat Airport,Yakutat,United States,PAYA,2,73,4
657,LUK,39.10329819,-84.41860199,Cincinnati Municipal Airport Lunken Field,Cincinnati,United States,KLUK,3,73,12
158,YCO,67.816704,-115.143997,Kugluktuk Airport,Coppermine,Canada,CYCO,3,71,9
2373,VAK,61.5409,-165.6005,Chevak Airport,Chevak,United States,PAVA,3,71,4
2040,YUX,68.77610015869999,-81.2425,Hall Beach Airport,Hall Beach,Canada,CYUX,2,71,7
1144,GST,58.4253006,-135.7070007,Gustavus Airport,Gustavus,United States,PAGS,1,71,4
991,SCU,19.96980094909668,-75.83540344238281,Antonio Maceo International Airport,Santiago De Cuba,Cuba,MUCU,2,63,38
84,YKQ,51.47330093383789,-78.75830078125,Waskaganish Airport,Waskaganish,Canada,CYKQ,5,70,3
626,IAG,43.1072998046875,-78.94619750976562,Niagara Falls International Airport,Niagara Falls,United States,KIAG,5,70,41
2200,HVR,48.54299927,-109.762001,Havre City County Airport,Havre,United States,KHVR,1,70,16
91,YMT,49.77190017700195,-74.5280990600586,Chapais Airport,Chibougamau,Canada,CYMT,3,69,3
2382,RBY,64.72720337,-155.4700012,Ruby Airport,Ruby,United States,PARY,2,69,4
83,AKV,60.81859970092773,-78.14859771728516,Akulivik Airport,Akulivik,Canada,CYKO,2,67,3
76,YHY,60.8396987915,-115.782997131,Hay River / Merlyn Carter Airport,Hay River,Canada,CYHY,3,66,9
85,YPJ,59.29669952392578,-69.59970092773438,Aupaluk Airport,Aupaluk,Canada,CYLA,3,65,3
78,YIK,62.41730117797852,-77.92530059814453,Ivujivik Airport,Ivujivik,Canada,CYIK,2,65,3
