source,target,weight,nc_alpha
292,645,1405,0.0
1659,1219,1404,0.0
627,1366,1403,0.0
575,541,1402,0.0
691,952,1401,0.0
575,2183,1400,0.0
579,2183,1399,0.0
648,1187,1398,0.0
157,904,1393,0.0
575,613,1390,0.0
571,680,1390,0.0
209,847,1389,0.0
733,987,1387,0.0
155,94,1380,0.0
736,739,1380,0.0
806,1456,1378,0.0
157,1808,1377,0.0
308,813,1376,0.0
273,765,1373,0.0
555,724,1372,0.0
708,667,1372,0.0
591,150,1371,0.0
625,661,1371,0.0
691,528,1370,0.0
514,708,1370,0.0
741,611,1370,0.0
529,2067,1368,0.0
209,800,1368,0.0
280,132,1367,0.0
53,691,1364,0.0
237,858,1363,0.0
1833,1847,1362,0.0
506,507,1361,0.0
1542,1808,1359,0.0
1591,1598,1359,0.0
682,498,1358,0.0
661,687,1358,0.0
645,739,1357,0.0
981,765,1357,0.0
199,1095,1352,0.0
806,1752,1352,0.0
697,661,1352,0.0
94,554,1350,0.0
1808,1844,1350,0.0
1187,1189,1349,0.0
132,1734,1348,0.0
1306,1311,1346,0.0
259,856,1344,0.0
280,128,1344,0.0
237,864,1341,0.0
700,858,1341,0.0
204,1808,1336,0.0
308,885,1334,0.0
1272,1288,1334,0.0
94,134,1333,0.0
648,737,1333,0.0
1734,1653,1332,0.0
280,965,1331,0.0
506,608,1331,0.0
733,952,1327,0.0
506,559,1326,0.0
645,1095,1325,0.0
875,1734,1324,0.0
575,1323,1324,0.0
858,1456,1320,0.0
1734,1759,1320,0.0
741,569,1320,0.0
529,651,1319,0.0
506,578,1316,0.0
571,674,1315,0.0
591,1734,1314,0.0
965,952,1314,0.0
132,1187,1312,0.0
673,858,1310,0.0
1518,1560,1309,0.0
259,769,1308,0.0
1808,1208,1308,0.0
280,1095,1307,0.0
891,286,1307,0.0
552,661,1307,0.0
1508,765,1307,0.0
1201,1833,1304,0.0
199,1518,1303,0.0
1659,1716,1302,0.0
193,1573,1299,0.0
663,542,1299,0.0
1573,1219,1298,0.0
204,884,1297,0.0
700,929,1297,0.0
1666,1706,1296,0.0
904,691,1294,0.0
981,565,1293,0.0
286,833,1293,0.0
733,971,1292,0.0
591,1542,1291,0.0
150,663,1291,0.0
673,847,1291,0.0
1201,1642,1291,0.0
700,695,1290,0.0
199,1202,1287,0.0
1808,1598,1286,0.0
691,737,1285,0.0
237,506,1284,0.0
1187,735,1284,0.0
625,1264,1283,0.0
597,632,1283,0.0
847,1456,1282,0.0
237,875,1281,0.0
591,2194,1280,0.0
875,286,1279,0.0
1659,1642,1276,0.0
625,984,1273,0.0
506,673,1273,0.0
738,618,1272,0.0
647,1264,1270,0.0
682,2191,1268,0.0
204,627,1267,0.0
574,1187,1267,0.0
591,2191,1266,0.0
806,1202,1266,0.0
201,286,1264,0.0
237,833,1263,0.0
193,128,1262,0.0
736,726,1262,0.0
273,864,1261,0.0
725,528,1260,0.0
648,986,1259,0.0
1264,1778,1258,0.0
647,733,1253,0.0
739,611,1253,0.0
591,53,1252,0.0
691,685,1252,0.0
1734,765,1252,0.0
157,651,1251,0.0
591,1187,1250,0.0
1573,1227,1249,0.0
273,891,1247,0.0
204,1548,1246,0.0
758,1456,1246,0.0
292,1573,1245,0.0
204,1456,1245,0.0
929,708,1245,0.0
904,1573,1244,0.0
308,891,1243,0.0
204,132,1242,0.0
209,691,1242,0.0
292,856,1240,0.0
700,520,1239,0.0
591,2189,1236,0.0
733,683,1236,0.0
554,671,1236,0.0
292,691,1235,0.0
893,1734,1232,0.0
157,132,1229,0.0
529,571,1227,0.0
204,273,1226,0.0
579,966,1226,0.0
981,739,1225,0.0
1764,1845,1224,0.0
273,766,1222,0.0
806,1095,1221,0.0
1733,1202,1218,0.0
981,718,1217,0.0
700,2191,1216,0.0
904,648,1215,0.0
1734,1833,1213,0.0
157,88,1209,0.0
1202,725,1209,0.0
1518,1653,1209,0.0
682,520,1208,0.0
237,813,1207,0.0
225,885,1206,0.0
891,340,1205,0.0
575,712,1205,0.0
597,565,1205,0.0
157,739,1204,0.0
132,1202,1201,0.0
575,695,1200,0.0
571,546,1200,0.0
204,1542,1198,0.0
893,1542,1198,0.0
708,618,1198,0.0
259,753,1196,0.0
730,690,1196,0.0
365,1573,1195,0.0
575,548,1194,0.0
237,765,1193,0.0
365,645,1193,0.0
574,647,1192,0.0
1733,1734,1191,0.0
529,885,1191,0.0
625,688,1190,0.0
514,695,1189,0.0
1642,1625,1189,0.0
273,800,1188,0.0
209,813,1188,0.0
280,697,1187,0.0
579,1417,1187,0.0
1734,1752,1187,0.0
1788,1805,1187,0.0
647,578,1185,0.0
571,709,1180,0.0
554,2182,1180,0.0
552,548,1180,0.0
201,813,1179,0.0
665,697,1179,0.0
365,591,1177,0.0
199,273,1176,0.0
645,1508,1174,0.0
700,1005,1170,0.0
627,1734,1168,0.0
1734,1757,1168,0.0
1189,737,1166,0.0
280,1752,1164,0.0
645,724,1164,0.0
645,1201,1164,0.0
209,757,1164,0.0
132,150,1164,0.0
571,642,1164,0.0
201,891,1163,0.0
286,769,1163,0.0
904,1734,1162,0.0
1573,1208,1161,0.0
1659,1227,1160,0.0
730,1808,1159,0.0
203,865,1158,0.0
529,984,1156,0.0
806,343,1156,0.0
554,2067,1156,0.0
691,929,1151,0.0
904,1808,1148,0.0
571,496,1148,0.0
741,542,1147,0.0
730,697,1144,0.0
733,725,1144,0.0
858,1542,1143,0.0
591,765,1142,0.0
209,856,1142,0.0
591,758,1141,0.0
645,1096,1141,0.0
847,1573,1140,0.0
730,1201,1137,0.0
1753,1851,1137,0.0
157,1264,1135,0.0
529,929,1132,0.0
591,1808,1132,0.0
574,730,1131,0.0
259,1093,1130,0.0
237,800,1129,0.0
575,1005,1129,0.0
1734,1810,1128,0.0
53,94,1127,0.0
625,981,1126,0.0
893,1808,1126,0.0
697,1189,1126,0.0
157,885,1123,0.0
150,53,1122,0.0
225,237,1120,0.0
730,1264,1120,0.0
1033,1808,1120,0.0
193,1734,1119,0.0
203,648,1118,0.0
575,1366,1118,0.0
554,858,1118,0.0
574,664,1116,0.0
2060,1753,1116,0.0
157,340,1115,0.0
529,723,1115,0.0
625,904,1115,0.0
651,2186,1115,0.0
806,1598,1114,0.0
1264,1542,1113,0.0
506,984,1112,0.0
292,648,1110,0.0
280,150,1108,0.0
204,700,1107,0.0
702,1183,1107,0.0
210,758,1106,0.0
506,539,1106,0.0
199,965,1103,0.0
199,1205,1101,0.0
1752,1205,1101,0.0
1825,1851,1101,0.0
647,966,1100,0.0
691,971,1100,0.0
292,591,1098,0.0
858,1734,1098,0.0
199,1653,1096,0.0
981,661,1096,0.0
574,965,1092,0.0
225,800,1091,0.0
758,236,1091,0.0
571,2186,1089,0.0
891,1096,1087,0.0
574,736,1085,0.0
591,987,1085,0.0
209,766,1085,0.0
1642,1614,1084,0.0
806,270,1083,0.0
150,697,1083,0.0
893,1548,1082,0.0
579,685,1082,0.0
627,735,1081,0.0
204,1096,1079,0.0
272,758,1079,0.0
893,1202,1076,0.0
128,858,1074,0.0
575,1392,1074,0.0
157,984,1073,0.0
1342,1346,1072,0.0
1659,1633,1071,0.0
579,688,1071,0.0
625,891,1068,0.0
858,884,1068,0.0
286,847,1068,0.0
510,737,1068,0.0
1254,1653,1067,0.0
237,847,1066,0.0
893,128,1065,0.0
539,653,1065,0.0
691,1189,1063,0.0
1733,733,1062,0.0
645,150,1062,0.0
806,838,1062,0.0
340,765,1060,0.0
1189,725,1059,0.0
663,1366,1057,0.0
700,1894,1057,0.0
673,612,1057,0.0
1734,1598,1057,0.0
272,806,1056,0.0
758,343,1055,0.0
597,720,1054,0.0
150,77,1053,0.0
132,682,1052,0.0
733,1205,1052,0.0
1189,735,1052,0.0
529,685,1051,0.0
574,682,1050,0.0
645,1392,1050,0.0
571,667,1050,0.0
1734,1798,1049,0.0
981,674,1048,0.0
554,618,1048,0.0
539,488,1048,0.0
965,1323,1047,0.0
648,717,1046,0.0
506,741,1046,0.0
893,1096,1045,0.0
209,1734,1045,0.0
682,712,1044,0.0
733,692,1044,0.0
514,724,1043,0.0
1667,1716,1041,0.0
225,891,1040,0.0
1808,847,1039,0.0
1254,1264,1038,0.0
1205,1598,1037,0.0
273,847,1036,0.0
308,847,1036,0.0
651,592,1035,0.0
506,966,1035,0.0
625,1734,1034,0.0
554,1417,1033,0.0
1752,1798,1032,0.0
529,542,1031,0.0
575,1894,1029,0.0
981,978,1029,0.0
736,1187,1028,0.0
647,537,1027,0.0
1264,1614,1027,0.0
1573,1809,1027,0.0
157,94,1025,0.0
806,1064,1024,0.0
365,691,1023,0.0
591,203,1023,0.0
730,1183,1023,0.0
2060,1825,1023,0.0
157,1323,1020,0.0
1796,1847,1020,0.0
893,673,1018,0.0
651,685,1018,0.0
1659,1575,1017,0.0
645,1548,1017,0.0
730,1161,1016,0.0
806,1548,1016,0.0
579,546,1016,0.0
1264,1764,1016,0.0
591,611,1015,0.0
733,1202,1015,0.0
273,856,1014,0.0
574,680,1013,0.0
663,569,1013,0.0
645,1005,1012,0.0
858,236,1012,0.0
1202,1591,1012,0.0
539,520,1012,0.0
1659,292,1009,0.0
204,1518,1007,0.0
1548,1562,1007,0.0
702,1184,1006,0.0
858,343,1003,0.0
203,1734,1002,0.0
858,1573,1002,0.0
292,1734,1001,0.0
1033,1716,1001,0.0
806,1518,1000,0.0
