source,target,weight
1806,1847,232
1806,1851,403
1294,929,275
1294,984,294
1294,1353,333
1294,1366,283
1294,1392,98
1294,1321,209
272,278,147
272,340,289
272,431,94
272,868,120
272,878,631
272,896,30
1809,1833,206
1809,1825,192
1809,1805,173
1809,1812,615
1809,1845,238
1809,1847,411
1809,1851,186
1805,1833,689
1805,1825,142
1805,1845,499
1805,1847,102
1805,1851,377
1812,1833,586
1812,1825,553
1812,1844,426
1812,1820,226
278,810,80
278,797,4
278,799,71
278,813,309
278,884,66
278,841,192
278,852,96
278,859,85
278,868,224
278,368,99
278,431,121
278,833,81
278,878,96
278,890,183
278,905,171
278,921,94
278,333,206
278,832,144
1306,984,200
1306,1321,101
1820,1833,994
1820,1845,147
1820,1847,202
1820,1851,125
797,929,23
797,443,266
797,343,612
797,799,38
797,807,51
797,809,142
797,813,539
797,838,183
797,852,30
797,868,90
797,884,68
797,905,213
799,443,82
799,807,274
799,809,65
799,813,252
799,838,134
799,841,115
799,865,644
799,868,61
799,884,269
799,921,81
1825,1833,5
1825,1844,360
1825,1845,768
1825,1851,1101
807,443,122
807,431,498
807,809,70
807,813,154
807,833,56
807,838,232
807,841,249
807,852,24
807,859,103
807,861,53
807,865,341
807,868,116
807,878,77
807,884,340
807,896,123
807,921,52
295,884,94
295,859,388
295,868,324
295,431,70
295,838,104
295,878,207
295,896,77
295,905,84
1321,884,183
1321,984,324
1321,1353,119
1321,1366,249
1321,1392,176
810,333,292
810,431,123
810,809,119
810,832,193
810,833,303
810,838,132
810,859,171
810,865,485
810,878,250
810,884,336
810,896,299
810,905,300
810,921,165
809,929,7
809,443,139
809,813,335
809,884,59
809,841,113
809,859,197
809,861,182
809,868,150
809,905,8
1833,1844,417
1833,1845,573
1833,1847,1362
813,340,539
813,368,489
813,461,112
813,832,357
813,833,88
813,865,133
813,868,18
813,890,111
813,921,36
813,924,94
813,1450,169
813,1507,98
813,905,12
1847,1851,36
832,924,28
832,833,57
832,890,24
832,1507,98
833,340,141
833,461,263
833,865,78
833,859,80
833,868,146
833,924,11
833,368,191
833,838,90
833,890,63
833,921,44
838,841,3
838,852,118
838,859,85
838,868,104
838,861,272
838,890,206
1353,929,284
1353,984,177
1353,1366,320
1353,1392,329
841,852,197
841,859,68
841,861,213
333,340,185
333,852,138
333,868,221
340,368,104
340,865,117
340,890,89
340,924,160
340,1450,105
852,443,239
852,884,361
852,868,138
852,890,193
852,921,128
1366,929,253
1366,984,263
1366,986,45
1366,987,207
1366,1392,111
1366,1417,126
343,368,355
859,865,187
859,890,93
859,1450,142
865,451,57
865,461,77
865,368,536
865,890,154
865,921,131
865,924,168
865,1450,130
865,1507,201
868,368,281
868,1507,171
1894,929,1
1894,984,14
878,884,335
368,1450,126
368,1507,53
368,921,2
1392,929,172
1392,984,152
1392,986,348
1392,987,190
884,431,183
890,924,65
890,921,18
894,924,204
894,896,104
894,905,230
894,921,417
896,905,77
896,921,608
896,1450,56
905,921,567
1417,929,41
1417,984,101
921,443,18
921,924,38
921,1507,24
921,1450,2
929,984,107
929,1507,21
1450,1507,75
431,443,30
952,971,91
952,974,119
952,984,565
952,966,389
443,461,231
451,461,298
451,468,137
966,971,56
966,974,119
966,984,609
461,468,191
461,1507,69
984,986,565
984,987,128
984,1005,131
986,987,143
1507,1530,262
